Date,Ticker Symbol,Close,Open,Volume
6-6-2011,GS,133.9000,134.7500,5287900
7-6-2011,GS,132.9900,134.3800,6200400
8-6-2011,GS,131.5900,132.6300,6796200
9-6-2011,GS,133.5300,131.9900,4499100
10-6-2011,GS,135.9200,133.2100,7557300
13-6-2011,GS,137.5300,136.1300,5273700
14-6-2011,GS,137.1000,138.2000,5850000
15-6-2011,GS,134.8500,136.0700,5715300
16-6-2011,GS,136.0900,134.6300,5230700
17-6-2011,GS,137.2300,137.8300,6768500
20-6-2011,GS,135.1400,136.4200,4021800
21-6-2011,GS,135.9600,135.5000,4213300
22-6-2011,GS,134.5200,135.5900,4228100
23-6-2011,GS,132.3600,133.1000,6707800
24-6-2011,GS,130.9100,132.8100,5775700
27-6-2011,GS,130.7100,130.7500,5832600
28-6-2011,GS,129.2600,131.3400,8059700
29-6-2011,GS,132.5300,129.7300,8170800
30-6-2011,GS,133.0900,133.0500,4992900
1-7-2011,GS,136.6500,133.4300,5103500
5-7-2011,GS,134.5000,135.9000,4457200
6-7-2011,GS,133.8900,133.7800,3029600
7-7-2011,GS,135.0100,135.0900,3859200
8-7-2011,GS,134.0800,133.3200,4141900
11-7-2011,GS,132.0200,132.7500,4724400
12-7-2011,GS,130.3100,131.4200,4333400
13-7-2011,GS,129.9200,130.7400,4414000
14-7-2011,GS,129.8900,131.7000,5357900
15-7-2011,GS,130.1600,131.3100,5260100
18-7-2011,GS,129.3300,129.5800,5839600
19-7-2011,GS,128.4900,125.7300,15301300
20-7-2011,GS,132.7500,128.0000,8578800
21-7-2011,GS,135.5800,133.5200,7672400
22-7-2011,GS,135.4900,135.0300,4928300
25-7-2011,GS,136.8500,134.1700,5857000
26-7-2011,GS,137.6000,136.6100,5465200
27-7-2011,GS,134.7200,136.7900,5250600
28-7-2011,GS,135.8400,134.9700,4430100
29-7-2011,GS,134.9700,134.1000,5346400
1-8-2011,GS,134.1500,136.9200,5886600
2-8-2011,GS,131.2300,132.0800,7594500
3-8-2011,GS,132.0800,131.3500,6499400
4-8-2011,GS,126.2300,130.8400,8197200
5-8-2011,GS,125.1800,127.7500,11171300
8-8-2011,GS,117.6600,122.0800,17381600
9-8-2011,GS,122.7300,120.5100,15914500
10-8-2011,GS,110.3400,119.5800,18592200
11-8-2011,GS,118.1000,112.9400,11847500
12-8-2011,GS,116.4700,119.8200,9608100
15-8-2011,GS,119.1300,117.5700,7257500
16-8-2011,GS,116.8700,117.6000,7413500
17-8-2011,GS,117.2500,117.3600,4829000
18-8-2011,GS,113.1400,112.1500,9288900
19-8-2011,GS,111.7600,111.8700,6829200
22-8-2011,GS,106.5100,114.1700,11286600
23-8-2011,GS,106.8600,106.0200,24487200
24-8-2011,GS,110.3100,106.9000,10175200
25-8-2011,GS,109.8400,114.5100,11945900
26-8-2011,GS,111.7500,108.6300,7355600
29-8-2011,GS,116.0700,113.6500,5185100
30-8-2011,GS,115.1800,115.3300,5301100
31-8-2011,GS,116.2200,115.4000,6488000
1-9-2011,GS,112.1600,115.5500,9857300
2-9-2011,GS,107.0600,108.5800,8381300
6-9-2011,GS,104.5600,103.6700,7752400
7-9-2011,GS,108.3400,106.0000,6531600
8-9-2011,GS,104.7900,107.1300,6513700
9-9-2011,GS,102.2500,104.3800,8615100
12-9-2011,GS,102.9200,100.7900,8772800
13-9-2011,GS,104.0900,103.4100,7119600
14-9-2011,GS,104.5400,104.9100,6603300
15-9-2011,GS,107.9700,105.1700,6355300
16-9-2011,GS,107.4900,109.0700,7999700
19-9-2011,GS,104.8100,105.3200,5823700
20-9-2011,GS,102.6100,105.0000,4978900
21-9-2011,GS,97.8600,102.8100,8593200
22-9-2011,GS,93.9800,95.9600,12386200
23-9-2011,GS,95.1800,92.8400,17489100
26-9-2011,GS,99.1400,96.1900,7043300
27-9-2011,GS,99.5500,101.2000,8583900
28-9-2011,GS,96.3200,99.9800,5676800
29-9-2011,GS,99.8700,98.6500,5950200
30-9-2011,GS,94.5500,98.2800,5784500
3-10-2011,GS,90.0800,93.7400,7746700
4-10-2011,GS,94.5800,88.3200,11991400
5-10-2011,GS,94.2900,93.8700,8455600
6-10-2011,GS,97.9300,94.0000,7605600
7-10-2011,GS,92.6900,98.0700,7637700
10-10-2011,GS,96.1400,94.9200,6125900
11-10-2011,GS,96.7000,94.5600,7066700
12-10-2011,GS,99.1100,98.2000,8238100
13-10-2011,GS,96.1500,97.8700,6575600
