Date,Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
22-02-2016,24.22,24.0775,34280758,23.8975,24.02022964,58.68799487,0.21,23.6725
23-02-2016,23.6725,24.1,31942743,23.8895,23.95700607,39.39552647,-0.5475,24.025
24-02-2016,24.025,23.495,36255745,23.91725,23.9693686,52.07464069,0.3525,24.19
25-02-2016,24.19,24.0125,27592659,23.9795,24.0094834,57.30140216,0.165,24.2275
26-02-2016,24.2275,24.3,28991131,24.05975,24.04912278,58.5845796,0.0375,24.1725
29-02-2016,24.1725,24.215,35216277,24.12725,24.071555,55.52539161,-0.055,25.1325
01-03-2016,25.1325,24.4125,50430198,24.2245,24.26445409,79.21075677,0.96,25.1875
02-03-2016,25.1875,25.1275,33169560,24.29025,24.43228062,79.97450917,0.055,25.375
03-03-2016,25.375,25.145,36964242,24.42125,24.60368415,82.6852,0.1875,25.7525
04-03-2016,25.7525,25.5925,46115100,24.5955,24.81255976,87.084879,0.3775,25.4675
07-03-2016,25.4675,25.5975,35919450,24.72025,24.9316398,70.24131275,-0.285,25.2575
08-03-2016,25.2575,25.195,31561889,24.87875,24.99088711,59.62021757,-0.21,25.28
09-03-2016,25.28,25.3275,27201683,25.00425,25.04345309,60.4217236,0.0225,25.2925
10-03-2016,25.2925,25.3525,33513578,25.1145,25.08873435,60.95985917,0.0125,25.565
11-03-2016,25.565,25.56,27411247,25.24825,25.1753281,71.51417587,0.2725,25.63
14-03-2016,25.63,25.4775,25076062,25.394,25.25799572,73.63906566,0.065,26.145
15-03-2016,26.145,25.99,40067734,25.49525,25.41926922,84.83935413,0.515,26.4925
16-03-2016,26.4925,26.1525,38308093,25.62575,25.61440209,88.83905133,0.3475,26.45
17-03-2016,26.45,26.38,34420695,25.73325,25.76632899,85.3948752,-0.0425,26.48
18-03-2016,26.48,26.585,44205171,25.806,25.89608735,85.87795768,0.03,26.4775
21-03-2016,26.4775,26.4825,35506183,25.907,26.00179874,85.58308623,-0.0025,26.68
22-03-2016,26.68,26.3125,32484879,26.04925,26.12510806,89.30220673,0.2025,26.5325
23-03-2016,26.5325,26.62,25702995,26.1745,26.19917932,72.31654016,-0.1475,26.4175
24-03-2016,26.4175,26.3675,26132955,26.287,26.23887399,61.00763797,-0.115,26.2975
28-03-2016,26.2975,26.5,19411372,26.36025,26.24953327,50.67186196,-0.12,26.92
29-03-2016,26.92,26.2225,31190083,26.48925,26.37143631,76.49438347,0.6225,27.39
