Close,sma_10,ema,rsi,mom,next_day_close
1217.28,1204.481,1203.5189672994331,75.05721452413903,8.6099999999999,1212.05
1212.05,1206.038,1205.0700641540816,62.2058407746075,-5.230000000000018,1183.71
1183.71,1204.679,1201.1864161260667,28.802301915326964,-28.339999999999918,1191.36
1191.36,1202.75,1199.3997950122362,39.723726947439886,7.649999999999864,1206.78
1206.78,1202.261,1200.7416504645569,56.52621963150377,15.420000000000073,1186.69
1186.69,1201.717,1198.1868049255465,38.87699618716195,-20.089999999999918,1202.26
1202.26,1202.191,1198.9273858481743,53.07177115858466,15.569999999999936,1173.6
1173.6,1198.834,1194.3224066030516,34.58921275280172,-28.660000000000082,1165.9
1165.9,1194.83,1189.1546963115875,30.967386500185054,-7.699999999999818,1128.15
1128.15,1186.7779999999998,1178.0629333458444,18.863150064537052,-37.75,1110.88
